Ano Censo;Número de Vagas Oferecidas;Número de Tipo de Ingressos;Número de Matrículas;Número de Concluintes;Número de Inscritos;Número de Cursos;Nome Região
2017;6075252;2135126;6529681;947606;14605840;33522;BRASIL
2017;554885;208370;607357;89956;1306750;3072;CENTRO-OESTE
2017;1138928;441493;1447248;188730;3804497;6715;NORDESTE
2017;383771;143622;473716;64851;1367659;2513;NORTE
2017;3086636;1026159;3003075;458824;6516557;14861;SUDESTE
2017;911032;315482;998285;145245;1610377;6361;SUL
2016;6180251;2632500;6554283;938732;14407344;32959;BRASIL
2016;554091;264225;606523;85890;1279507;2969;CENTRO-OESTE
2016;1134737;573360;1444368;179953;3827094;6417;NORDESTE
2016;416474;203649;473479;70367;1397271;2475;NORTE
2016;3202510;1181240;3020865;460629;6166490;14849;SUDESTE
2016;872439;410026;1009048;141893;1736982;6249;SUL